Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.3418619343392792,1.034611654315504,-0.3613956937070988,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.3251830405953262,1.0347054602907493,-0.36159678411048296,0,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.3104895870444224,1.635144175890866,-0.45244907511016763,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.13863509254540785,-1.3316550888888883,0.15812114358666812,2,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.15099844324876363,-2.0835459155502063,0.23699110702579096,2,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.17285522888764118,-1.1153247498332393,0.03349565464861691,2,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.3912479939964009,1.2088141145738496,-0.4046934603033221,0,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.14482742226142992,-2.239755792490775,0.32242995266609603,2,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.14943891929596395,-2.0836471644577994,0.23697671913501955,2,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.1460994796717972,-1.9917331194837642,0.31977481629258814,2,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.32551397344726524,1.3025283912220125,0.27003117900211027,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.16447069190873037,-1.8712683193123396,0.27028205495171453,2,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.30647121559776214,0.818255177500469,-0.23678300501916905,0,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.25979911493527696,0.6217079307249379,-0.06814167193007024,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.1740026345001595,-1.115313077715091,0.03350876114072973,2,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.23273772177905502,1.87540459110777,-0.37119403854928756,0,KoboCoin
